Although my heart is falling too,Ed Sheeran
And how your family is doing okay,Ed Sheeran
And last night you were in my room,Ed Sheeran
And now my bed sheets smell like you,Ed Sheeran
"And then we start to dance, and now I'm singing like",Ed Sheeran
And trust me I'll give it a chance now,Ed Sheeran
And you come over and start up a conversation with just me,Ed Sheeran
"Come on now, follow my lead",Ed Sheeran
"Come on, be my baby, come on",Ed Sheeran
"Come, come on now, follow my lead",Ed Sheeran
Drinking fast and then we talk slow,Ed Sheeran
Every day discovering something brand new,Ed Sheeran
Fill up your bag and I fill up a plate,Ed Sheeran
"Girl, you know I want your love",Ed Sheeran
Grab on my waist and put that body on me,Ed Sheeran
"I may be crazy, don't mind me",Ed Sheeran
I'm in love with the shape of you,Ed Sheeran
I'm in love with your body,Ed Sheeran
Last night you were in my room,Ed Sheeran
"Leave and get in a taxi, then kiss in the backseat",Ed Sheeran
Me and my friends at the table doing shots,Ed Sheeran
Oh—I—oh—I—oh—I—oh—I,Ed Sheeran
One week in we let the story begin,Ed Sheeran
"Say, boy, let's not talk too much",Ed Sheeran
So the bar is where I go,Ed Sheeran
"Take my hand, stop, put Van the Man on the jukebox",Ed Sheeran
"Tell the driver make the radio play, and I'm singing like",Ed Sheeran
The club isn't the best place to find a lover,Ed Sheeran
We push and pull like a magnet do,Ed Sheeran
We talk for hours and hours about the sweet and the sour,Ed Sheeran
We're going out on our first date,Ed Sheeran
"You and me are thrifty, so go all you can eat",Ed Sheeran
Your love was handmade for somebody like me,Ed Sheeran
And I can't sweep you off of your feet,Ed Sheeran
And I'm thinking 'bout how,Ed Sheeran
"And baby, your smile's forever in my mind and memory",Ed Sheeran
And darling I will be loving you till we're seventy,Ed Sheeran
And maybe it's all part of a plan,Ed Sheeran
And maybe we found love right where we are,Ed Sheeran
And the crowds don't remember my name,Ed Sheeran
And we found love right where we are,Ed Sheeran
"Cause honey your soul could never grow old, it's evergreen",Ed Sheeran
Hoping that you'll understand,Ed Sheeran
I just wanna tell you I am,Ed Sheeran
I know you will still love me the same,Ed Sheeran
Kiss me under the light of a thousand stars,Ed Sheeran
Maybe just the touch of a hand,Ed Sheeran
"Oh baby, we found love right where we are",Ed Sheeran
"Oh darling, place your head on my beating heart, I'm thinking out loud",Ed Sheeran
People fall in love in mysterious ways,Ed Sheeran
"Place your head on my beating heart, I'm thinking out loud",Ed Sheeran
"So baby, now, take me into your loving arms",Ed Sheeran
"So honey, now, take me into your loving arms",Ed Sheeran
That maybe we found love right where we are,Ed Sheeran
"That, baby, now, take me into your loving arms",Ed Sheeran
Well I'll just keep on making the same mistakes,Ed Sheeran
"Well me, I fall in love with you every single day",Ed Sheeran
When my hair's all but gone and my memory fades,Ed Sheeran
When my hands don't play the strings the same way,Ed Sheeran
When your legs don't work like they used to before,Ed Sheeran
Will your eyes still smile from your cheeks?,Ed Sheeran
Will your mouth still remember the taste of my love?,Ed Sheeran
And I won’t ever let you go,Ed Sheeran
"And if you hurt me, that's okay baby",Ed Sheeran
"And it's the only thing that I know, know",Ed Sheeran
And it's the only thing to take with us when we die,Ed Sheeran
"And time's forever frozen, still",Ed Sheeran
But it's the only thing that I know,Ed Sheeran
Hearing you whisper through the phone,Ed Sheeran
Holding me close until our eyes meet,Ed Sheeran
"I swear it will get easier, remember that with every piece of ya",Ed Sheeran
Inside the necklace you got when you were sixteen,Ed Sheeran
Inside the pocket of your ripped jeans,Ed Sheeran
It is the only thing that makes us feel alive,Ed Sheeran
Keep it deep within your soul,Ed Sheeran
"Loving can heal, loving can mend your soul",Ed Sheeran
"Loving can hurt, loving can hurt sometimes",Ed Sheeran
Next to your heartbeat where I should be,Ed Sheeran
Oh you can fit me,Ed Sheeran
Only words bleed inside these pages,Ed Sheeran
Our hearts were never broken,Ed Sheeran
So you can keep me,Ed Sheeran
Under the lamppost back on Sixth street,Ed Sheeran
Wait for me to come home,Ed Sheeran
We keep this love in a photograph,Ed Sheeran
We made these memories for ourselves,Ed Sheeran
"When I'm away, I will remember how you kissed me",Ed Sheeran
"When it gets hard, you know it can get hard sometimes",Ed Sheeran
Where our eyes are never closing,Ed Sheeran
You just hold me,Ed Sheeran
You won't ever be alone,Ed Sheeran
"You won't ever be alone, wait for me to come home",Ed Sheeran
All the misery was necessary when we're deep in love,The Weeknd
And I know she'll be the death of me,The Weeknd
And she'll always get the best of me,The Weeknd
At least we'll both be numb,The Weeknd
"But I love it, but I love it, oh",The Weeknd
But at least we'll both be beautiful and stay forever young,The Weeknd
I can't feel my face when I'm with you,The Weeknd
"She told me you'll never be alone, oh, oh, woo",The Weeknd
"She told me, ""don't worry about it""",The Weeknd
"She told me, ""don't worry no more""",The Weeknd
The worst is yet to come,The Weeknd
"This I know, girl, I know",The Weeknd
"This I know, yeah, this I know",The Weeknd
We both know we can't go without it,The Weeknd
'Cause you look even better than the photos,The Weeknd
Always tryna send me off to rehab,The Weeknd
And all these motherfuckers want a relapse,The Weeknd
And you gon' have to do it at my tempo,The Weeknd
Drivin' through the gated residential,The Weeknd
Drugs started feelin' like it's decaf,The Weeknd
Ewedihalehu,The Weeknd
"Found out I was comin', sent your friends home",The Weeknd
"Hide your lies, girl, hide your lies (Hide your lies, oh baby)",The Weeknd
"Hills have eyes, the hills have eyes",The Weeknd
"I can't find your house, send me the info",The Weeknd
I just fucked two bitches 'fore I saw you,The Weeknd
I only call you when it's half past five,The Weeknd
"I only love it when you touch me, not feel me",The Weeknd
I'm just tryna get you out the friend zone,The Weeknd
I'm just tryna live life for the moment,The Weeknd
I'ma let you know and keep it simple,The Weeknd
Keep on tryna hide it but your friends know,The Weeknd
"Only you to trust, only you",The Weeknd
The only time I'd ever call you mine,The Weeknd
The only time that I'll be by your side,The Weeknd
Tryna keep it up don't seem so simple,The Weeknd
"When I'm fucked up, that's the real me",The Weeknd
"When I'm fucked up, that's the real me, babe",The Weeknd
